Name,Email,Email Providers,Company Name,Job Title,Number of employess,Priority Score
User_655,user_655@gmail.com,gmail,Company_4,Intern,150,0.37
User_251,user_251@outlook.com,outlook,Company_18,Intern,25,0.95
User_693,user_693@unknown.com,no_provider,Company_12,Founder,300,0.73
User_33,user_33@gmail.com,gmail,Company_12,CTO,75,0.6
User_518,user_518@unknown.com,no_provider,Company_4,Founder,75,0.16
User_734,user_734@unknown.com,no_provider,Company_54,CTO,300,0.16
User_604,user_604@yahoo.com,yahoo,Company_1,CTO,1200,0.06
User_433,user_433@yahoo.com,yahoo,Company_36,CTO,75,0.87
User_981,user_981@yahoo.com,yahoo,Company_14,CEO,300,0.6
User_100,user_100@yahoo.com,yahoo,Company_45,Founder,150,0.71
User_827,user_827@gmail.com,gmail,Company_94,Engineer,750,0.02
User_128,user_128@zoho.com,zoho,Company_11,Founder,150,0.97
User_850,user_850@unknown.com,no_provider,Company_47,Founder,75,0.83
User_722,user_722@gmail.com,gmail,Company_6,Intern,75,0.21
User_792,user_792@yahoo.com,yahoo,Company_11,CTO,25,0.18
User_390,user_390@yahoo.com,yahoo,Company_59,Intern,150,0.18
User_167,user_167@yahoo.com,yahoo,Company_46,CTO,1200,0.3
User_274,user_274@gmail.com,gmail,Company_78,Intern,75,0.52
User_547,user_547@outlook.com,outlook,Company_21,Engineer,300,0.43
User_277,user_277@unknown.com,no_provider,Company_29,Intern,150,0.29
User_864,user_864@gmail.com,gmail,Company_30,CEO,150,0.61
User_411,user_411@yahoo.com,yahoo,Company_9,CTO,750,0.14
User_898,user_898@yahoo.com,yahoo,Company_28,Intern,300,0.29
User_406,user_406@zoho.com,zoho,Company_19,Manager,75,0.37
User_253,user_253@unknown.com,no_provider,Company_69,Manager,1200,0.46
User_599,user_599@zoho.com,zoho,Company_75,Engineer,150,0.79
User_225,user_225@outlook.com,outlook,Company_66,Engineer,25,0.2
User_774,user_774@gmail.com,gmail,Company_15,CTO,1200,0.51
User_164,user_164@zoho.com,zoho,Company_77,CEO,300,0.59
User_391,user_391@unknown.com,no_provider,Company_60,Founder,150,0.05
User_995,user_995@unknown.com,no_provider,Company_2,Intern,1200,0.61
User_118,user_118@unknown.com,no_provider,Company_97,Manager,1200,0.17
User_349,user_349@gmail.com,gmail,Company_38,Engineer,75,0.07
User_465,user_465@gmail.com,gmail,Company_93,Intern,150,0.95
User_996,user_996@unknown.com,no_provider,Company_98,CTO,750,0.97
User_935,user_935@gmail.com,gmail,Company_81,Manager,1200,0.81
User_520,user_520@unknown.com,no_provider,Company_26,CTO,150,0.3
User_781,user_781@outlook.com,outlook,Company_70,Founder,25,0.1
User_614,user_614@yahoo.com,yahoo,Company_63,CEO,25,0.68
User_952,user_952@yahoo.com,yahoo,Company_40,CTO,25,0.44
User_247,user_247@unknown.com,no_provider,Company_11,CEO,1200,0.12
User_498,user_498@gmail.com,gmail,Company_98,Founder,75,0.5
User_132,user_132@zoho.com,zoho,Company_71,CTO,150,0.03
User_541,user_541@unknown.com,no_provider,Company_55,CTO,750,0.91
User_774,user_774@outlook.com,outlook,Company_92,Manager,300,0.26
User_688,user_688@yahoo.com,yahoo,Company_57,Founder,300,0.66
User_124,user_124@outlook.com,outlook,Company_29,CEO,150,0.31
User_22,user_22@unknown.com,no_provider,Company_71,CTO,750,0.52
User_226,user_226@gmail.com,gmail,Company_10,Intern,1200,0.55
User_61,user_61@outlook.com,outlook,Company_9,CEO,150,0.18
User_73,user_73@unknown.com,no_provider,Company_31,Manager,1200,0.97
User_498,user_498@outlook.com,outlook,Company_70,CTO,1200,0.78
User_958,user_958@unknown.com,no_provider,Company_74,Engineer,75,0.94
User_804,user_804@zoho.com,zoho,Company_53,CTO,25,0.89
User_100,user_100@zoho.com,zoho,Company_46,Engineer,300,0.6
User_479,user_479@gmail.com,gmail,Company_87,Intern,1200,0.92
User_101,user_101@gmail.com,gmail,Company_52,Intern,150,0.09
User_820,user_820@gmail.com,gmail,Company_32,CTO,75,0.2
User_550,user_550@zoho.com,zoho,Company_18,Engineer,75,0.05
User_286,user_286@zoho.com,zoho,Company_32,CEO,300,0.33
User_828,user_828@unknown.com,no_provider,Company_13,CEO,1200,0.39
User_554,user_554@gmail.com,gmail,Company_12,CTO,75,0.27
User_417,user_417@zoho.com,zoho,Company_62,CTO,300,0.83
User_925,user_925@gmail.com,gmail,Company_22,Engineer,25,0.36
User_400,user_400@yahoo.com,yahoo,Company_59,Manager,300,0.28
User_714,user_714@unknown.com,no_provider,Company_85,Intern,300,0.54
User_159,user_159@outlook.com,outlook,Company_38,CTO,25,0.14
User_594,user_594@unknown.com,no_provider,Company_8,Intern,150,0.8
User_59,user_59@gmail.com,gmail,Company_75,Engineer,750,0.07
User_942,user_942@unknown.com,no_provider,Company_21,CEO,750,0.99
User_83,user_83@outlook.com,outlook,Company_9,Founder,25,0.77
User_692,user_692@outlook.com,outlook,Company_52,CEO,750,0.2
User_253,user_253@unknown.com,no_provider,Company_77,CEO,750,0.01
User_84,user_84@zoho.com,zoho,Company_85,Founder,750,0.82
User_536,user_536@yahoo.com,yahoo,Company_34,CTO,1200,0.71
User_734,user_734@yahoo.com,yahoo,Company_31,Manager,300,0.73
User_135,user_135@yahoo.com,yahoo,Company_59,Manager,25,0.77
User_10,user_10@zoho.com,zoho,Company_80,Founder,25,0.07
User_76,user_76@unknown.com,no_provider,Company_28,Founder,150,0.36
User_136,user_136@yahoo.com,yahoo,Company_9,CTO,150,0.12
User_292,user_292@outlook.com,outlook,Company_57,Founder,1200,0.86
User_310,user_310@unknown.com,no_provider,Company_84,Founder,25,0.62
User_684,user_684@unknown.com,no_provider,Company_39,Intern,25,0.33
User_962,user_962@outlook.com,outlook,Company_34,CEO,25,0.06
User_761,user_761@unknown.com,no_provider,Company_20,Manager,150,0.31
User_620,user_620@outlook.com,outlook,Company_92,Manager,75,0.33
User_704,user_704@yahoo.com,yahoo,Company_65,Engineer,150,0.73
User_928,user_928@gmail.com,gmail,Company_12,Intern,300,0.64
User_850,user_850@yahoo.com,yahoo,Company_6,CEO,150,0.89
User_790,user_790@outlook.com,outlook,Company_82,Manager,75,0.47
User_760,user_760@zoho.com,zoho,Company_71,Intern,300,0.12
User_575,user_575@gmail.com,gmail,Company_15,CEO,1200,0.71
User_926,user_926@outlook.com,outlook,Company_70,CEO,150,0.76
User_597,user_597@unknown.com,no_provider,Company_19,Engineer,75,0.56
User_43,user_43@yahoo.com,yahoo,Company_47,CEO,150,0.77
User_216,user_216@outlook.com,outlook,Company_86,CEO,150,0.49
User_799,user_799@unknown.com,no_provider,Company_53,Founder,1200,0.52
User_159,user_159@outlook.com,outlook,Company_21,CTO,300,0.43
User_26,user_26@outlook.com,outlook,Company_95,Manager,300,0.03
User_822,user_822@outlook.com,outlook,Company_35,CTO,1200,0.11
User_111,user_111@zoho.com,zoho,Company_5,Engineer,75,0.03
User_205,user_205@zoho.com,zoho,Company_45,Manager,75,0.64
User_229,user_229@gmail.com,gmail,Company_85,CTO,300,0.31
User_337,user_337@yahoo.com,yahoo,Company_9,Manager,150,0.51
User_657,user_657@unknown.com,no_provider,Company_52,Intern,750,0.91
User_340,user_340@gmail.com,gmail,Company_15,Manager,75,0.25
User_595,user_595@yahoo.com,yahoo,Company_5,CEO,750,0.41
User_445,user_445@yahoo.com,yahoo,Company_94,Manager,300,0.76
User_621,user_621@unknown.com,no_provider,Company_15,Engineer,750,0.23
User_195,user_195@yahoo.com,yahoo,Company_6,Intern,300,0.08
User_2,user_2@unknown.com,no_provider,Company_69,Intern,1200,0.29
User_963,user_963@outlook.com,outlook,Company_47,Engineer,25,0.16
User_972,user_972@yahoo.com,yahoo,Company_80,Manager,1200,0.93
User_869,user_869@gmail.com,gmail,Company_93,Manager,750,0.81
User_317,user_317@zoho.com,zoho,Company_42,Engineer,1200,0.63
User_303,user_303@unknown.com,no_provider,Company_17,CTO,300,0.87
User_681,user_681@zoho.com,zoho,Company_87,Intern,75,0.8
User_631,user_631@unknown.com,no_provider,Company_39,Engineer,750,0.19
User_854,user_854@gmail.com,gmail,Company_39,Manager,75,0.89
User_441,user_441@unknown.com,no_provider,Company_78,Intern,150,0.54
User_477,user_477@zoho.com,zoho,Company_57,Intern,75,0.81
User_524,user_524@zoho.com,zoho,Company_95,CTO,1200,0.9
User_87,user_87@yahoo.com,yahoo,Company_66,Intern,1200,0.32
User_635,user_635@yahoo.com,yahoo,Company_12,CTO,1200,0.11
User_318,user_318@outlook.com,outlook,Company_26,CTO,25,0.23
User_48,user_48@outlook.com,outlook,Company_61,Founder,25,0.43
User_467,user_467@zoho.com,zoho,Company_81,Founder,75,0.82
User_736,user_736@zoho.com,zoho,Company_64,Engineer,75,0.86
User_152,user_152@gmail.com,gmail,Company_97,CEO,300,0.01
User_225,user_225@outlook.com,outlook,Company_90,Founder,300,0.51
User_52,user_52@unknown.com,no_provider,Company_32,CEO,300,0.42
User_137,user_137@zoho.com,zoho,Company_86,Founder,750,0.22
User_610,user_610@yahoo.com,yahoo,Company_97,Engineer,750,0.12
User_835,user_835@unknown.com,no_provider,Company_55,Founder,300,0.34
User_919,user_919@outlook.com,outlook,Company_96,Engineer,300,0.94
User_266,user_266@outlook.com,outlook,Company_82,Manager,750,0.32
User_497,user_497@outlook.com,outlook,Company_36,Engineer,25,0.52
User_731,user_731@yahoo.com,yahoo,Company_31,Manager,150,0.7
User_328,user_328@unknown.com,no_provider,Company_11,CTO,75,0.36
User_237,user_237@zoho.com,zoho,Company_89,CTO,1200,0.97
User_220,user_220@gmail.com,gmail,Company_54,Engineer,150,0.96
User_556,user_556@zoho.com,zoho,Company_54,CEO,75,0.25
User_853,user_853@zoho.com,zoho,Company_50,Founder,1200,0.5
User_21,user_21@unknown.com,no_provider,Company_49,Engineer,25,0.3
User_966,user_966@yahoo.com,yahoo,Company_39,Engineer,300,0.28
User_552,user_552@unknown.com,no_provider,Company_78,CTO,300,0.04
User_225,user_225@yahoo.com,yahoo,Company_56,Engineer,25,0.61
User_399,user_399@yahoo.com,yahoo,Company_86,Intern,300,0.5
User_742,user_742@outlook.com,outlook,Company_60,CTO,750,0.05
User_547,user_547@gmail.com,gmail,Company_51,Founder,750,0.28
User_679,user_679@gmail.com,gmail,Company_11,Intern,300,0.91
User_139,user_139@zoho.com,zoho,Company_24,CEO,150,0.24
User_389,user_389@yahoo.com,yahoo,Company_28,Engineer,150,0.14
User_346,user_346@zoho.com,zoho,Company_36,Engineer,150,0.49
User_855,user_855@gmail.com,gmail,Company_61,CEO,1200,0.99
User_553,user_553@gmail.com,gmail,Company_45,CTO,1200,0.24
User_71,user_71@gmail.com,gmail,Company_97,CEO,75,0.67
User_205,user_205@gmail.com,gmail,Company_80,CTO,75,0.76
User_130,user_130@zoho.com,zoho,Company_86,CEO,750,0.24
User_971,user_971@outlook.com,outlook,Company_60,Intern,150,0.73
User_786,user_786@yahoo.com,yahoo,Company_22,Founder,750,0.37
User_987,user_987@gmail.com,gmail,Company_100,CTO,150,0.63
User_111,user_111@unknown.com,no_provider,Company_4,Manager,750,0.63
User_694,user_694@zoho.com,zoho,Company_51,Intern,75,0.54
User_78,user_78@unknown.com,no_provider,Company_89,Intern,75,0.09
User_105,user_105@yahoo.com,yahoo,Company_88,Founder,25,0.84
User_816,user_816@unknown.com,no_provider,Company_6,Manager,750,0.32
User_439,user_439@yahoo.com,yahoo,Company_9,Founder,1200,0.19
User_350,user_350@gmail.com,gmail,Company_54,Engineer,25,0.04
User_444,user_444@yahoo.com,yahoo,Company_82,Engineer,1200,0.59
User_157,user_157@zoho.com,zoho,Company_23,Intern,750,0.68
User_989,user_989@yahoo.com,yahoo,Company_79,Founder,300,0.02
User_477,user_477@zoho.com,zoho,Company_94,Founder,150,0.51
User_331,user_331@outlook.com,outlook,Company_12,Manager,300,0.23
User_250,user_250@zoho.com,zoho,Company_73,Founder,1200,0.65
User_389,user_389@yahoo.com,yahoo,Company_4,Engineer,150,0.17
User_187,user_187@zoho.com,zoho,Company_28,Manager,150,0.69
User_349,user_349@yahoo.com,yahoo,Company_77,Intern,150,0.39
User_570,user_570@gmail.com,gmail,Company_67,CTO,25,0.94
User_248,user_248@zoho.com,zoho,Company_63,Founder,75,0.14
User_708,user_708@zoho.com,zoho,Company_83,Intern,300,0.34
User_459,user_459@gmail.com,gmail,Company_12,Manager,75,0.11
User_415,user_415@outlook.com,outlook,Company_40,Intern,750,0.92
User_378,user_378@zoho.com,zoho,Company_71,Founder,150,0.88
User_436,user_436@unknown.com,no_provider,Company_43,Manager,1200,0.26
User_465,user_465@yahoo.com,yahoo,Company_40,Manager,75,0.66
User_124,user_124@outlook.com,outlook,Company_41,CEO,1200,0.82
User_549,user_549@outlook.com,outlook,Company_25,CTO,1200,0.56
User_496,user_496@yahoo.com,yahoo,Company_93,Founder,750,0.53
User_612,user_612@yahoo.com,yahoo,Company_13,CTO,150,0.24
User_233,user_233@yahoo.com,yahoo,Company_23,Manager,25,0.09
User_726,user_726@unknown.com,no_provider,Company_17,Manager,25,0.9
User_998,user_998@gmail.com,gmail,Company_71,Manager,1200,0.9
User_967,user_967@outlook.com,outlook,Company_82,Engineer,25,0.63
User_894,user_894@gmail.com,gmail,Company_74,Manager,300,0.34
User_491,user_491@zoho.com,zoho,Company_44,CTO,25,0.35
User_259,user_259@zoho.com,zoho,Company_15,CEO,300,0.73
User_504,user_504@gmail.com,gmail,Company_74,Intern,1200,0.9
User_55,user_55@outlook.com,outlook,Company_20,Founder,150,0.89
User_88,user_88@outlook.com,outlook,Company_16,Founder,300,0.78
User_621,user_621@unknown.com,no_provider,Company_80,CTO,750,0.64
User_390,user_390@zoho.com,zoho,Company_57,Manager,750,0.08
User_440,user_440@yahoo.com,yahoo,Company_73,Founder,25,0.16
User_625,user_625@gmail.com,gmail,Company_98,CTO,1200,0.9
User_217,user_217@yahoo.com,yahoo,Company_85,CEO,75,0.61
User_246,user_246@outlook.com,outlook,Company_71,CEO,75,0.01
User_3,user_3@zoho.com,zoho,Company_58,Intern,750,0.1
User_482,user_482@yahoo.com,yahoo,Company_5,CTO,150,0.66
User_724,user_724@yahoo.com,yahoo,Company_90,Engineer,25,0.01
User_704,user_704@outlook.com,outlook,Company_34,Intern,750,0.16
User_678,user_678@outlook.com,outlook,Company_55,CEO,750,0.55
User_231,user_231@outlook.com,outlook,Company_35,CTO,25,0.69
User_62,user_62@outlook.com,outlook,Company_40,Founder,1200,0.65
User_845,user_845@unknown.com,no_provider,Company_37,Engineer,25,0.22
User_480,user_480@yahoo.com,yahoo,Company_90,Engineer,150,0.71
User_513,user_513@unknown.com,no_provider,Company_64,Engineer,25,0.24
User_613,user_613@gmail.com,gmail,Company_56,Intern,150,0.33
User_619,user_619@yahoo.com,yahoo,Company_4,CEO,75,0.75
User_985,user_985@unknown.com,no_provider,Company_76,CEO,1200,0.65
User_842,user_842@yahoo.com,yahoo,Company_74,CEO,75,0.85
User_482,user_482@unknown.com,no_provider,Company_84,Engineer,150,0.66
User_186,user_186@unknown.com,no_provider,Company_56,Intern,300,0.57
User_993,user_993@gmail.com,gmail,Company_61,Manager,300,0.09
User_342,user_342@yahoo.com,yahoo,Company_86,CEO,75,0.37
User_338,user_338@zoho.com,zoho,Company_89,Engineer,150,0.27
User_679,user_679@zoho.com,zoho,Company_98,Founder,25,0.24
User_466,user_466@gmail.com,gmail,Company_41,Manager,150,0.97
User_119,user_119@zoho.com,zoho,Company_66,CEO,1200,0.39
User_891,user_891@unknown.com,no_provider,Company_60,Engineer,25,0.89
User_193,user_193@unknown.com,no_provider,Company_47,Founder,300,0.63
User_641,user_641@zoho.com,zoho,Company_98,CEO,75,0.79
User_274,user_274@unknown.com,no_provider,Company_17,Manager,300,0.5
User_902,user_902@zoho.com,zoho,Company_16,CEO,1200,0.58
User_624,user_624@outlook.com,outlook,Company_91,CTO,150,0.49
User_565,user_565@gmail.com,gmail,Company_71,Engineer,25,0.2
User_231,user_231@gmail.com,gmail,Company_60,CEO,1200,0.72
User_853,user_853@outlook.com,outlook,Company_64,Intern,150,0.28
User_522,user_522@yahoo.com,yahoo,Company_54,Engineer,300,0.02
User_250,user_250@zoho.com,zoho,Company_71,CTO,300,0.65
User_196,user_196@unknown.com,no_provider,Company_66,Intern,75,0.18
User_885,user_885@gmail.com,gmail,Company_36,Engineer,150,0.94
User_957,user_957@unknown.com,no_provider,Company_35,CEO,150,0.95
User_744,user_744@yahoo.com,yahoo,Company_76,Founder,1200,0.91
User_502,user_502@outlook.com,outlook,Company_58,Founder,300,0.37
User_354,user_354@yahoo.com,yahoo,Company_71,Founder,300,0.02
User_467,user_467@yahoo.com,yahoo,Company_25,Intern,75,0.93
User_586,user_586@zoho.com,zoho,Company_30,Engineer,25,0.43
User_326,user_326@zoho.com,zoho,Company_91,Engineer,300,0.97
User_680,user_680@outlook.com,outlook,Company_64,CEO,75,0.96
User_515,user_515@unknown.com,no_provider,Company_43,CEO,300,0.85
User_103,user_103@unknown.com,no_provider,Company_59,CEO,1200,0.29
User_148,user_148@zoho.com,zoho,Company_84,CTO,25,0.39
User_481,user_481@yahoo.com,yahoo,Company_44,Founder,1200,0.85
User_408,user_408@gmail.com,gmail,Company_43,Intern,750,0.32
User_390,user_390@yahoo.com,yahoo,Company_81,Intern,300,0.17
User_894,user_894@unknown.com,no_provider,Company_5,Founder,25,0.56
User_241,user_241@yahoo.com,yahoo,Company_30,Intern,25,0.94
User_445,user_445@gmail.com,gmail,Company_98,Intern,1200,0.7
User_894,user_894@gmail.com,gmail,Company_57,CTO,1200,0.57
User_307,user_307@gmail.com,gmail,Company_6,Manager,25,0.1
User_301,user_301@yahoo.com,yahoo,Company_48,Engineer,75,0.62
User_251,user_251@unknown.com,no_provider,Company_53,Founder,1200,0.99
User_812,user_812@outlook.com,outlook,Company_22,CTO,25,0.14
User_625,user_625@zoho.com,zoho,Company_80,Intern,75,0.52
User_510,user_510@unknown.com,no_provider,Company_19,CTO,300,0.88
User_654,user_654@yahoo.com,yahoo,Company_59,Manager,1200,0.74
User_10,user_10@zoho.com,zoho,Company_37,Intern,750,0.7
User_162,user_162@gmail.com,gmail,Company_57,Manager,750,0.7
User_307,user_307@zoho.com,zoho,Company_89,Manager,300,0.36
User_866,user_866@yahoo.com,yahoo,Company_26,Engineer,300,0.29
User_110,user_110@outlook.com,outlook,Company_49,Founder,150,0.81
User_589,user_589@yahoo.com,yahoo,Company_90,Manager,25,0.81
User_850,user_850@zoho.com,zoho,Company_36,CEO,750,0.87
User_886,user_886@gmail.com,gmail,Company_78,Intern,300,0.91
User_853,user_853@yahoo.com,yahoo,Company_100,CTO,750,0.51
User_822,user_822@yahoo.com,yahoo,Company_29,Intern,75,0.5
User_636,user_636@yahoo.com,yahoo,Company_87,Intern,1200,0.8
User_698,user_698@outlook.com,outlook,Company_81,CEO,1200,0.65
User_662,user_662@gmail.com,gmail,Company_40,Engineer,25,0.7
User_594,user_594@yahoo.com,yahoo,Company_94,CTO,25,0.8
User_932,user_932@yahoo.com,yahoo,Company_42,Intern,300,0.89
User_180,user_180@outlook.com,outlook,Company_17,Founder,150,0.34
User_544,user_544@unknown.com,no_provider,Company_35,CTO,150,0.38
User_936,user_936@zoho.com,zoho,Company_38,Intern,150,0.09
User_824,user_824@gmail.com,gmail,Company_60,CEO,75,0.58
User_773,user_773@outlook.com,outlook,Company_87,Intern,1200,0.04
User_407,user_407@unknown.com,no_provider,Company_47,CEO,300,0.47
User_15,user_15@yahoo.com,yahoo,Company_69,CEO,300,0.54
User_378,user_378@yahoo.com,yahoo,Company_75,Engineer,1200,0.29
User_963,user_963@yahoo.com,yahoo,Company_14,Intern,75,0.59
User_483,user_483@gmail.com,gmail,Company_80,Founder,150,0.03
User_938,user_938@unknown.com,no_provider,Company_29,Intern,25,0.04
User_651,user_651@zoho.com,zoho,Company_90,Manager,1200,0.82
User_419,user_419@gmail.com,gmail,Company_18,CEO,25,0.36
User_312,user_312@zoho.com,zoho,Company_15,CEO,75,0.13
User_909,user_909@unknown.com,no_provider,Company_18,Engineer,300,0.52
User_380,user_380@unknown.com,no_provider,Company_54,Founder,1200,0.77
User_745,user_745@outlook.com,outlook,Company_54,Intern,25,0.22
User_854,user_854@zoho.com,zoho,Company_79,Engineer,150,0.62
User_34,user_34@yahoo.com,yahoo,Company_28,Engineer,300,0.09
User_974,user_974@outlook.com,outlook,Company_47,CEO,1200,0.05
User_377,user_377@unknown.com,no_provider,Company_83,Manager,25,0.53
User_408,user_408@yahoo.com,yahoo,Company_25,CEO,300,0.54
User_94,user_94@outlook.com,outlook,Company_83,Intern,750,0.64
User_995,user_995@gmail.com,gmail,Company_7,Manager,75,0.73
User_129,user_129@unknown.com,no_provider,Company_27,CEO,750,0.98
User_213,user_213@unknown.com,no_provider,Company_28,CTO,150,0.52
User_793,user_793@outlook.com,outlook,Company_77,CEO,150,0.32
User_880,user_880@outlook.com,outlook,Company_17,Founder,150,0.8
User_818,user_818@outlook.com,outlook,Company_15,Intern,25,0.27
